epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5228,1.49734,2.55599,1.21076,0.75833,0.04274,0.29352,0.16552,1.36421,2.84003,1.18938,0.00054845,0.00054845,0.00054845
2,62.3166,1.54565,1.74737,1.15494,0.67343,0.65391,0.70435,0.4085,1.43208,1.61496,1.24757,0.00108226,0.00108226,0.00108226
3,85.1748,1.47265,1.64621,1.15422,0.76245,0.70431,0.77516,0.44467,1.33349,1.37052,1.18724,0.00159406,0.00159406,0.00159406
4,108.434,1.44184,1.50243,1.15396,0.58991,0.67772,0.66389,0.39092,1.38177,1.65638,1.20838,0.00156798,0.00156798,0.00156798
5,131.261,1.39031,1.41252,1.13998,0.66962,0.65606,0.71008,0.43717,1.32583,1.35755,1.1571,0.00153497,0.00153497,0.00153497
6,155.294,1.4029,1.31604,1.13898,0.75277,0.67515,0.72365,0.42164,1.42219,1.20204,1.21439,0.00150197,0.00150197,0.00150197
7,178.162,1.39479,1.27176,1.13564,0.65411,0.77733,0.70925,0.40711,1.37744,1.24509,1.19516,0.00146896,0.00146896,0.00146896
8,201.472,1.41317,1.2415,1.14512,0.68273,0.59559,0.73506,0.45534,1.25469,1.31892,1.13852,0.00143595,0.00143595,0.00143595
9,224.89,1.37515,1.19563,1.13809,0.74926,0.76506,0.7764,0.47101,1.36241,1.07337,1.18397,0.00140295,0.00140295,0.00140295
10,249.326,1.39406,1.17466,1.1288,0.70264,0.76633,0.757,0.46601,1.26655,0.97907,1.12864,0.00136994,0.00136994,0.00136994
11,283.076,1.34114,1.10171,1.11694,0.72424,0.79907,0.79105,0.48105,1.27855,0.90554,1.13042,0.00133693,0.00133693,0.00133693
12,340.234,1.3129,1.09018,1.11536,0.76141,0.80209,0.83792,0.51039,1.30181,0.91385,1.15572,0.00130393,0.00130393,0.00130393
13,364.484,1.33258,1.06103,1.10371,0.78296,0.75037,0.8105,0.49793,1.2527,0.87958,1.12108,0.00127092,0.00127092,0.00127092
14,388.735,1.30125,1.07954,1.09546,0.73408,0.75183,0.73324,0.44616,1.29487,0.97787,1.13522,0.00123791,0.00123791,0.00123791
15,412.37,1.30685,1.00589,1.1022,0.80588,0.77821,0.81249,0.47965,1.33582,0.85971,1.1617,0.00120491,0.00120491,0.00120491
16,436.732,1.32094,0.99973,1.09719,0.72293,0.79604,0.778,0.46847,1.34935,0.91543,1.15726,0.0011719,0.0011719,0.0011719
17,460.08,1.30862,0.96963,1.08831,0.71188,0.86336,0.79518,0.4875,1.27969,0.87173,1.11977,0.00113889,0.00113889,0.00113889
18,484.236,1.28868,0.9262,1.0949,0.75685,0.84527,0.82215,0.51381,1.21979,0.8477,1.10204,0.00110589,0.00110589,0.00110589
19,507.488,1.29882,0.94254,1.08499,0.77049,0.82197,0.82439,0.51858,1.22934,0.85824,1.11851,0.00107288,0.00107288,0.00107288
20,533.086,1.24744,0.90521,1.07276,0.75886,0.77431,0.82031,0.5008,1.35821,0.89053,1.17137,0.00103987,0.00103987,0.00103987
21,557.229,1.28317,0.87783,1.07701,0.78936,0.87106,0.85404,0.53763,1.24547,0.74997,1.10399,0.00100687,0.00100687,0.00100687
22,581.915,1.26208,0.87591,1.07891,0.88896,0.79826,0.87782,0.57591,1.2197,0.79463,1.11046,0.000973861,0.000973861,0.000973861
23,605.899,1.27582,0.91658,1.08532,0.79354,0.70351,0.74897,0.4769,1.28486,0.97178,1.1555,0.000940855,0.000940855,0.000940855
24,631.106,1.24247,0.85192,1.06648,0.8282,0.80747,0.85197,0.54507,1.22729,0.75026,1.1135,0.000907848,0.000907848,0.000907848
25,655.465,1.24318,0.83633,1.06893,0.78447,0.81536,0.81264,0.51055,1.29543,0.92089,1.1382,0.000874842,0.000874842,0.000874842
26,679.509,1.2304,0.86125,1.07185,0.77378,0.7742,0.78424,0.49239,1.25017,0.86395,1.1263,0.000841835,0.000841835,0.000841835
27,704.543,1.19782,0.81546,1.05488,0.80523,0.8152,0.83025,0.5176,1.31025,0.85681,1.15149,0.000808828,0.000808828,0.000808828
28,729.74,1.20637,0.8206,1.05813,0.84097,0.83902,0.849,0.51672,1.31536,0.89386,1.14177,0.000775822,0.000775822,0.000775822
29,754.653,1.21056,0.7631,1.05619,0.80898,0.87945,0.85425,0.52735,1.30047,0.77992,1.145,0.000742815,0.000742815,0.000742815
30,778.626,1.20404,0.79522,1.04437,0.81473,0.80967,0.84531,0.53584,1.25924,0.73926,1.11962,0.000709809,0.000709809,0.000709809
31,803.816,1.18094,0.76884,1.03942,0.82266,0.84459,0.84996,0.50965,1.32911,0.77339,1.1455,0.000676802,0.000676802,0.000676802
32,828.778,1.19619,0.76243,1.04976,0.84626,0.80682,0.83997,0.52512,1.27305,0.76207,1.11956,0.000643795,0.000643795,0.000643795
33,853.482,1.17085,0.7587,1.04866,0.75635,0.70793,0.80376,0.50238,1.2751,0.81679,1.13097,0.000610789,0.000610789,0.000610789
34,878.692,1.17358,0.73253,1.03072,0.82714,0.82512,0.83794,0.53549,1.30037,0.81586,1.1396,0.000577782,0.000577782,0.000577782
35,903.937,1.14372,0.70931,1.04212,0.85785,0.83418,0.86545,0.55454,1.25686,0.76413,1.11902,0.000544776,0.000544776,0.000544776
36,927.715,1.15101,0.70154,1.03183,0.84375,0.76187,0.83037,0.53126,1.2469,0.74937,1.11495,0.000511769,0.000511769,0.000511769
37,951.998,1.1173,0.6888,1.02494,0.85936,0.81386,0.85383,0.54154,1.30089,0.71108,1.13308,0.000478762,0.000478762,0.000478762
38,976.539,1.11895,0.71361,1.01992,0.86517,0.77797,0.83594,0.53493,1.25513,0.78366,1.10921,0.000445756,0.000445756,0.000445756
39,1001.02,1.11664,0.68138,1.01296,0.84354,0.78836,0.83841,0.52463,1.32145,0.77509,1.1345,0.000412749,0.000412749,0.000412749
40,1025.02,1.10427,0.68022,1.00766,0.85094,0.78942,0.83066,0.5264,1.2909,0.75059,1.12543,0.000379743,0.000379743,0.000379743
41,1048.39,1.06865,0.62462,1.00468,0.87331,0.76102,0.83601,0.52376,1.29493,0.80073,1.13144,0.000346736,0.000346736,0.000346736
42,1071.78,1.07304,0.59788,1.01076,0.86901,0.78616,0.83964,0.53611,1.28014,0.73413,1.13048,0.000313729,0.000313729,0.000313729
